Gene_A	Gene_B	Weight
AT1G79010	ATMG00580	1.2E-1
AT3G03100	ATMG00580	1.2E-1
AT3G48680	ATMG00580	1.2E-1
AT5G11770	ATMG00580	1.2E-1
AT5G52840	ATMG00580	1.2E-1
ATMG00510	ATMG00580	1.2E-1
AT1G49140	843056	1.2E-1
AT1G79010	843056	1.2E-1
AT3G03100	843056	1.2E-1
AT3G48680	843056	1.2E-1
AT5G11770	843056	1.2E-1
AT5G52840	843056	1.2E-1
ATMG00510	843056	1.2E-1
ATMG00580	843056	1.2E-1
